date,query,num,base,fname,type,title,text,url,sub_rank,paid_by
10/28/2020,prop 14,14,prop,prop 14.html,general,Proposition 14 | Official Voter Information Guide | California ...,"ARGUMENTS. PRO Prop. 14 funds further development of treatments and cures for chronic, life-threatening diseases like Cancer, Alzheimer's, Heart Disease, ...‎Arguments and Rebuttals · ‎Analysis · ‎Proposition 15 · ‎Official Title and Summary",https://voterguide.sos.ca.gov/propositions/14/,2,
10/28/2020,prop 14,14,prop,prop 14.html,general,What Proposition 14 Tells Us About California - The New York ...,"Oct 15, 2020 — It would re-up funding for the state's stem cell research agency, which was started with the blessing of California voters, who approved the first ...",https://www.nytimes.com/2020/10/15/us/california-prop-14.html,3,
10/28/2020,prop 14,14,prop,prop 14.html,general,"Prop 14, pros and cons: CA's Stem Cell research prop ...","Oct 13, 2020 — CA Prop 14: Stem cell research. Proposition 14 is on the California ballot to continue funding stem cell research by borrowing up to $5.5 billion ...",https://www.abc10.com/article/news/local/california/prop-14-2020-election/103-49a1e4ca-4ace-4e93-9ebe-33298d55a67c,4,
10/28/2020,prop 14,14,prop,prop 14.html,general,Your Guide To The Ballot Propositions In California's General ...,3 days ago — Proposition 14 would issue $5.5 billion in funding to an existing state stem ... Read more arguments against Prop 14 from Southern California ...,https://laist.com/elections/2020/props/your-guide-to-the-california-ballot-propositions-in-the-november-2020-election.php,5,
10/28/2020,prop 14,14,prop,prop 14.html,general,"Proposition 14: With Just Handful of Cures, California Stem ...","Proposition 14: With Just Handful of Cures, California Stem Cell Agency's Fate Is In Hands of Voters. Listen. Danielle Venton. Oct 8. Facebook; Twitter · Email ...",https://www.kqed.org/science/1970180/proposition-14-with-handful-of-cures-calif-stem-cell-agency-has-mixed-record-will-voters-pony-up-another-5-5-billion,6,
10/28/2020,prop 14,14,prop,prop 14.html,general,"Proposition 14: There's much, much more than meets the eye ...","Aug 27, 2020 — Proposition 14 would ban royalties generated by state-backed stem cell inventions from being used for such things as prisons and schools, ...",https://capitolweekly.net/proposition-14-theres-much-much-more-than-meets-the-eye/,7,
10/28/2020,prop 15 explained,15,explained,prop 15 explained.html,knowledge,Proposition 15 | Official Voter Information Guide | California ...,"PRO Prop. 15 is a fair and balanced reform that: closes property tax loopholes benefitting wealthy corporations, cuts taxes for small businesses, protects homeowners and renters, requires full transparency and reclaims billions of dollars for schools and local communities.","https://voterguide.sos.ca.gov/propositions/15/#:~:text=PRO%20Prop.%2015%20is%20a,for%20schools%20and%20local%20communities.",0,
10/28/2020,prop 15 explained,15,explained,prop 15 explained.html,general,Proposition 15 | Official Voter Information Guide | California ...,,"https://voterguide.sos.ca.gov/propositions/15/#:~:text=PRO%20Prop.%2015%20is%20a,for%20schools%20and%20local%20communities.",0,
10/28/2020,prop 15 explained,15,explained,prop 15 explained.html,general,California Proposition 15: Property tax hike for big business ...,An analysis by the nonpartisan Legislative Analyst's Office wasn't able to determine whether the buildings and other improvements on that land would be too. Why ...,https://calmatters.org/election-2020-guide/proposition-15-property-tax-big-business/,2,
10/28/2020,prop 15 explained,15,explained,prop 15 explained.html,general,California Landlords and Tenants - Be Ready for Prop 15 | Insights ...,,https://www.dwt.com/insights/2020/09/california-prop-15-commercial-real-estate-tax,3,
10/28/2020,prop 15 explained,15,explained,prop 15 explained.html,general,Proposition 13 [Ballot] - Legislative Analyst's Office,,https://lao.ca.gov/BallotAnalysis/Proposition?number=13&year=2020,5,
10/28/2020,prop 15 explained,15,explained,prop 15 explained.html,general,1978 California Proposition 13 - Wikipedia,,https://en.wikipedia.org/wiki/1978_California_Proposition_13,6,
10/28/2020,prop 15 explained,15,explained,prop 15 explained.html,general,Homeowners Age 55+ (Prop 60) Exclusion - Assessor - County of ...,,https://www.marincounty.org/depts/ar/divisions/assessor/exclusions/homeowners-55-or-older,7,
10/28/2020,prop 15 explained,15,explained,prop 15 explained.html,general,"California Proposition 15, Tax on Commercial and Industrial ...",Jump to Ballot summary — Ballot summary. The ballot summary is as follows: “. Increases funding for K-12 ...‎Overview · ‎Text of measure · ‎Support · ‎Opposition,"https://ballotpedia.org/California_Proposition_15,_Tax_on_Commercial_and_Industrial_Properties_for_Education_and_Local_Government_Funding_Initiative_(2020)",8,
10/28/2020,prop 15 explained,15,explained,prop 15 explained.html,general,"Quick Guide: Proposition 15, the proposed 'split-roll' tax on ...","Sep 30, 2020 — 15 would mean for K-12 school funding. To see how much your school district or charter school would receive if Prop. 15 were fully implemented, ...",https://edsource.org/2020/quick-guide-proposition-15-the-proposed-split-roll-tax-on-commercial-property/640728,9,
10/28/2020,prop 15 explained,15,explained,prop 15 explained.html,general,"Proposition 15: The new tax and who it affects, explained ...","Proposition 15: The new tax and who it affects, explained. by Marie Edinger. Monday, October 5th 2020. AA. School Buses (Photo: FOX26). Facebook Share ...",https://kmph.com/news/local/proposition-15-the-new-tax-and-who-it-effects-explained,10,
10/28/2020,prop 15 explained,15,explained,prop 15 explained.html,general,2020 California Proposition 15 - Wikipedia,"All residential properties for homeowners and renters are exempt. According to the official ballot summary, Proposition 15: Raises $6.5 billion to $11.5 billion in ...",https://en.wikipedia.org/wiki/2020_California_Proposition_15,11,
10/28/2020,prop 15 explained,15,explained,prop 15 explained.html,general,Proposition 15 explained: Is it time to revise a 1978 property ...,"Oct 13, 2020 — If Prop. 15 passes, commercial and industrial properties, except those zoned as commercial agriculture, would be taxed based on their market ...",https://www.sfgate.com/politics/article/Proposition-15-explained-california-property-tax-15641203.php,12,
10/28/2020,prop 15 explained,15,explained,prop 15 explained.html,general,California Prop. 15 explained: Voters to decide 'split roll ...,"Sep 25, 2020 — Proposition 15 would assess taxes on commercial and industrial property at market value and that's called a ""split roll."" Ever since Proposition 13 ...",https://abc7.com/prop-15-california-2020-ca-what-is/6554464/,13,
10/28/2020,prop 15 explained,15,explained,prop 15 explained.html,general,Proposition 15 — And Commercial Property Taxes — Explained,"Oct 2, 2020 — Proposition 15 would tax commercial and industrial properties based on their market value, not their purchase price. We did into why this is on ...",https://www.kqed.org/news/11840670/proposition-15-and-commercial-property-taxes-explained,14,
10/28/2020,prop 15 how to vote,15,how to vote,prop 15 how to vote.html,ad,Vote NO on Prop 15 - Stop the Flawed Initiative,Oppose the $11.5 Billion-A-Year Property Tax Hike. Or Our Homes Are Next!,https://noonprop15.org/,0,"Paid for by NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES"
10/28/2020,prop 15 how to vote,15,how to vote,prop 15 how to vote.html,general,"California Proposition 15, Tax on Commercial and Industrial ...","A ""yes"" vote supports this constitutional amendment to require commercial and industrial properties, except those zoned as commercial agriculture, to be taxed ...‎Support · ‎Opposition · ‎Campaign finance · ‎Media editorials","https://ballotpedia.org/California_Proposition_15,_Tax_on_Commercial_and_Industrial_Properties_for_Education_and_Local_Government_Funding_Initiative_(2020)",0,
10/28/2020,prop 15 how to vote,15,how to vote,prop 15 how to vote.html,general,Proposition 15 | Official Voter Information Guide | California ...,YES A YES vote on this measure means: Property taxes on most commercial properties worth more than $3 million would go up in order to provide new funding ...‎Proposition 16 · ‎Analysis · ‎Arguments and Rebuttals · ‎Official Title and Summary,https://voterguide.sos.ca.gov/propositions/15/,1,
10/28/2020,prop 15 how to vote,15,how to vote,prop 15 how to vote.html,general,California Proposition 15: Property tax hike for big business ...,"Why am I voting on this? Back in 1978, California voters famously passed Proposition 13 — a huge permanent tax cut for landowners. It amended the state ...",https://calmatters.org/election-2020-guide/proposition-15-property-tax-big-business/,2,
10/28/2020,prop 15 how to vote,15,how to vote,prop 15 how to vote.html,general,Vote Yes on Prop 15,Join the movement to reclaim $12 billion annually for California's schools and communities and Vote Yes on Prop 15.,https://www.yes15.org/,3,
10/28/2020,prop 15 how to vote,15,how to vote,prop 15 how to vote.html,general,2020 California Proposition 15 - Wikipedia,"2020 California Proposition 15 · ""A YES vote on this measure means: Property taxes on most commercial properties worth more than $3 million would go up in ...",https://en.wikipedia.org/wiki/2020_California_Proposition_15,4,
10/28/2020,prop 15 how to vote,15,how to vote,prop 15 how to vote.html,general,Opinion: Why a vote for Prop 15 is a vote for our schools and ...,"Oct 18, 2020 — Analysts estimate that the corporate tax loopholes in Proposition 13 have cost the state more than $500 billion in lost revenue. Prop 15 will ...",https://www.berkeleyside.com/2020/10/18/opinion-vote-yes-california-prop-15-election-2020,5,
10/28/2020,prop 15 how to vote,15,how to vote,prop 15 how to vote.html,general,Breakdown of Proposition 15 | KRCR,"Oct 13, 2020 — ... breakdown of how Proposition 15 would affect Californians if passed. ... A YES VOTE means property taxes on most commercial properties ...",https://krcrtv.com/news/local/breakdown-of-proposition-15,6,
10/28/2020,prop 15 how to vote,15,how to vote,prop 15 how to vote.html,general,Stop Higher Property Taxes and Save Prop 13: No on Prop 15,VOTE NO ON PROP 15 · We can't afford Prop 15's $11.5 billion property tax increase. · Small business tenants will be legally required to pay for Prop 15's property ...,https://noonprop15.org/,7,
10/28/2020,prop 15 yes or no,15,yes or no,prop 15 yes or no.html,ad,Vote NO on Prop 15 - Stop the Flawed Initiative,Oppose the $11.5 Billion-A-Year Property Tax Hike. Or Our Homes Are Next! Donate Online. Join Online. Sign Up To Volunteer.,https://noonprop15.org/,0,"Paid for by NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES"
10/28/2020,prop 15 yes or no,15,yes or no,prop 15 yes or no.html,general,Proposition 15 | Official Voter Information Guide | California ...,NO A NO vote on this measure means: Property taxes on commercial ... Tracy Zeluff: Schools and Communities First—Yes on Prop 15: 731 South Spring St. Los ...‎Proposition 16 · ‎Analysis · ‎Arguments and Rebuttals · ‎Official Title and Summary,https://voterguide.sos.ca.gov/propositions/15/,0,
10/28/2020,prop 15 yes or no,15,yes or no,prop 15 yes or no.html,general,"California Proposition 15, Tax on Commercial and Industrial ...",Proposition 15 would amend the California State Constitution to require commercial ... how often reassessments would occur (no less than three years between ...‎Support · ‎Opposition · ‎Campaign finance · ‎Media editorials,"https://ballotpedia.org/California_Proposition_15,_Tax_on_Commercial_and_Industrial_Properties_for_Education_and_Local_Government_Funding_Initiative_(2020)",1,
10/28/2020,prop 15 yes or no,15,yes or no,prop 15 yes or no.html,general,Opinion: Why a vote for Prop 15 is a vote for our schools and ...,"Oct 18, 2020 — Analysts estimate that the corporate tax loopholes in Proposition 13 have ... value assessments at their 1976 value, with no increase beyond 2% per year. ... I hope you'll join me in voting Yes on Proposition 15 and talking with ...",https://www.berkeleyside.com/2020/10/18/opinion-vote-yes-california-prop-15-election-2020,2,
10/28/2020,prop 15 yes or no,15,yes or no,prop 15 yes or no.html,general,California Proposition 15: Property tax hike for big business ...,Proposition 15 would create the biggest change to California's tax system in a generation. ... No ticket needed: Stadiums welcome voters for November election.,https://calmatters.org/election-2020-guide/proposition-15-property-tax-big-business/,3,
10/28/2020,prop 15 yes or no,15,yes or no,prop 15 yes or no.html,general,Breakdown of Proposition 15 | KRCR,"Oct 13, 2020 — Proposition 15 would essentially increase funding for public schools, community colleges and local government services by ... YES/NO VOTE:.",https://krcrtv.com/news/local/breakdown-of-proposition-15,4,
10/28/2020,prop 15 yes or no,15,yes or no,prop 15 yes or no.html,general,"Opinion: Vote no on Prop. 15, the misleading property tax ...","Oct 9, 2020 — Yes, it's the Camel's Nose. They really want to tax residential property more than ever, given who revolved and voted for Proposition 13.",https://www.mercurynews.com/opinion-prop-15,5,
10/28/2020,prop 15 yes or no,15,yes or no,prop 15 yes or no.html,general,Prop 15 Targets California's Notorious Property-Tax Evaders,23 hours ago — A statewide “yes” on Prop 15 would capture up to $11.5 billion in ... in California — has contributed $7 million to the “No on Prop 15” campaign.,https://www.curbed.com/2020/10/prop-15-california-property-tax-prop-13.html,7,
10/28/2020,prop 15 yes or no,15,yes or no,prop 15 yes or no.html,general,Yes on Prop 15 - California Federation of Teachers,"On September 11, Governor Newsom endorsed Prop 15, the CFT-supported ballot measure that will reclaim $12 billion annually for California schools and ...",https://www.cft.org/yes-prop-15,8,
10/28/2020,prop 15,15,prop,prop 15.html,ad,Vote NO on Prop 15 | Stop the Flawed Initiative | noonprop15.org,Oppose the $11.5 Billion-A-Year Property Tax Hike. Or Our Homes Are Next!,https://noonprop15.org/,0,"Paid for by NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES"
10/28/2020,prop 15,15,prop,prop 15.html,knowledge,,"DescriptionDescriptionThe 2020 California Proposition 15 provides $6.5 billion to $11.5 billion in new funding for public schools, community colleges, and local government services by creating a ""split roll"" system that ... WikipediaLocation: CaliforniaBallot year: 2020Ballot text: Increases Funding for Public Schools, Community Colleges, and Local Government Services by Changing Tax Assessment of Commercial and Industrial Property. Initiative Constitutional Amendment. * Increases funding for K‑12 public schools, community colleges, and local governments by requiring that commercial and industrial real property be taxed based on current market value, instead of purchase price. * Exempts from taxation changes: residential properties... Increases Funding for Public Schools, Community Colleges, and Local Government Services by Changing Tax Assessment of Commercial and Industrial Property. Initiative Constitutional Amendment.
* Increases funding for K-12 public schools, community colleges, and local governments by requiring that commercial and industrial real property be taxed based on current market value, instead of purchase price.

* Exempts from taxation changes: residential properties; agricultural land; and owners of commercial and industrial properties with combined value of $3 million or less. 

* Any additional educational funding will supplement existing school funding guarantees.

* Exempts small businesses from personal property tax; for other businesses, provides $500,000 exemption.MoreLessSources include: Ballotpedia",,0,
10/28/2020,prop 15,15,prop,prop 15.html,general,"California Proposition 15, Tax on Commercial and Industrial ...","California Proposition 15, the Tax on Commercial and Industrial Properties for Education and Local Government Funding Initiative, is on the ballot in California ...‎Support · ‎Opposition · ‎Campaign finance · ‎Media editorials","https://ballotpedia.org/California_Proposition_15,_Tax_on_Commercial_and_Industrial_Properties_for_Education_and_Local_Government_Funding_Initiative_(2020)",0,
10/28/2020,prop 15,15,prop,prop 15.html,general,Proposition 15 | Official Voter Information Guide | California ...,"PRO Prop. 15 is a fair and balanced reform that: closes property tax loopholes benefitting wealthy corporations, cuts taxes for small businesses, protects ...‎Arguments and Rebuttals · ‎Analysis · ‎Proposition 16 · ‎Official Title and Summary",https://voterguide.sos.ca.gov/propositions/15/,1,
10/28/2020,prop 15,15,prop,prop 15.html,general,California Proposition 15: Property tax hike for big business ...,"Proposition 15: Business property taxes · Hike property taxes on big businesses, raising billions for schools and local governments. · Now, owners pay property ...",https://calmatters.org/election-2020-guide/proposition-15-property-tax-big-business/,2,
10/28/2020,prop 15,15,prop,prop 15.html,general,What 2020's Prop. 15 means for 1978's Prop. 13 - Los ...,"Oct 21, 2020 — Under Proposition 15, residential homeowners would continue to enjoy the same benefits. Commercial entities — malls, restaurants, theme ...",https://www.latimes.com/projects/prop-15-property-taxes-impact-california-funding/,3,
10/28/2020,prop 15,15,prop,prop 15.html,general,Prop 15 Targets California's Notorious Property-Tax Evaders,"23 hours ago — In particular, one of the world's great public university systems was starved, and per-pupil spending for K–12 public education plummeted to 41st ...",https://www.curbed.com/2020/10/prop-15-california-property-tax-prop-13.html,4,
10/28/2020,prop 15,15,prop,prop 15.html,general,"To Better Understand Prop 15, We Took A Trip To One ... - LAist","Oct 13, 2020 — The ballot measure aims to raise as much as $11.5 billion annually for California schools and local governments by raising taxes on many ...",https://laist.com/2020/10/13/proposition-15-prop-13-split-roll-commercial-property-taxes-california-election-south-coast-plaza.php,5,
